СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,ОФИЦИАНТ
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть плинтуса в кофейне и туалете,FALSE

,"обед
с 10:00 до 17:00","Пройтись по кофейне, убрать паутину с углов, потолка, цветов

*паутину сметаем веником вдоль стен, углов и потолка, чтобы не пропустить!",FALSE
,,"Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

пример стеллаж 1 
пример стеллаж 2",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список или фото чая на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Собрать перемещение для Самокиша и Луговой при наличии заявок в чате ""Перемещения"". 

Отправить фото склада в общий чат тегнув @zhannalim (неважно собрано перемещение или нет, фото отправляем в любом случае)

*на фото нужно, чтобы был виден стеллаж с зерном и коробки с зерном (если не умещается в одно фото – пришли несколько несколько)",TRUE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,Накрутить перчатки для онигурадзу,TRUE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",FALSE

,"вечер
с 17:00 до 21:00","Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",FALSE
,,"Протереть витрину снаружи, а внутри по мере загрязнения (либо перед сдачей смены)",FALSE
,,"Пополнить витрину едой / десертами 
Важно! Мы это делаем, чтобы с утра витрина выглядела изобильной и наполненной. А также это необходимо для сменщика, который после тебя открывает смену",FALSE
,,Наполнить расходники за баром,FALSE
,,Наполнить расходники для гостей и салфетницы на столах,FALSE
,,"Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",FALSE
,,"Проверить наполнение зоны бара на продажу гостям: сок, вода 0,5, батончики, пряники. При необходимости пополнить",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,"Очистить кресла от крошек (особенно в зазорах, где спинка переходит в седушку)",FALSE
,,Протереть ножки столов и стульев,FALSE
,,"Замыть гостевую туалетную зону (отмыть моющим средством унитаз, раковины, зеркало), в йоршик залить доместос",FALSE
,,При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе. При загрязнении коврик помыть в душевой,FALSE


,ОФИЦИАНТ
,,С У Б Б О Т А
С У Б Б О Т А,до открытия,Протереть фасад / окна с внешней стороны и входную дверь с ручкой внешне/изнутри,FALSE
,,"Проверить туалет на чистоту, при необходимости помыть",FALSE
,,Проверить витрину на чистоту: протереть снаружи при необходим﻿ости,FALSE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",FALSE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,FALSE

,После открытия с 8:00,Протереть подоконники на улице и подмести на улице у входа,FALSE
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",FALSE
,,"Проверить график полива цветов в приложение Lyrata (на рабочем телефоне)
Полить цветы согласно графику.  Важно! Перед поливом проверь землю на сухость.

Поливаем лейкой! Для улицы используем большую лейку",FALSE
,,"Полить на улице цветы: Туи слева от входа и в горшках.
(на один цветок – одна большая зеленая лейка. поливаем исходя из погодных условий!)

В летне-весенний период поливаем, в осенне-зимний период останавливаем полив",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,"Сделать фото всех цветов и отправить в чат кофейни ""Цветы"", тегнув Валентину",FALSE
,,Проверить зерно / шоколад / чай на стеллажах – доложить со склада или из коробок. Коробки подписать,FALSE

,"обед
с 10:00 до 17:00","Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

пример стеллаж 1 
пример стеллаж 2",FALSE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список или фото чая на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",FALSE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",FALSE
,,Наполнить расходники для гостей (органайзер),FALSE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",FALSE
,,Протереть лицевую часть бара,FALSE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,"Витрина: десерты выложены по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",FALSE
,,В летний период: сбор заготок на смузи,FALSE
,,Разморозить и помыть вертикальную морозилку (1 раз в месяц),FALSE
,,Протереть во всех залах и за баром навесные полки,FALSE

,"вечер
с 17:00 до 21:00","Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",FALSE
,,"Протереть витрину снаружи, а внутри по мере загрязнения (либо перед сдачей смены)",FALSE
,,"Пополнить витрину едой / десертами 
Важно! Мы это делаем, чтобы с утра витрина выглядела изобильной и наполненной. А также это необходимо для сменщика, который после тебя открывает смену",FALSE
,,Помыть входной коврик в душевой,FALSE
,,Наполнить расходники за баром,FALSE
,,Наполнить расходники для гостей и салфетницы на столах,FALSE
,,"Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",FALSE
,,"Проверить наполнение зоны бара на продажу гостям: сок, вода 0,5, батончики, пряники. При необходимости пополнить",FALSE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",FALSE
,,"Очистить кресла от крошек (особенно в зазорах, где спинка переходит в седушку)",FALSE
,,Протереть ножки столов и стульев,FALSE
,,"Замыть гостевую туалетную зону (отмыть моющим средством унитаз, раковины, зеркало), в йоршик залить доместос",FALSE
