,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2026-29.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Детализация: Склад, Номенклатура",,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 30.03.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
"ул. Самокиша, д. 5б",0,2549.0,,41.19,105000.77,502.11,527223.23,25.0,24.0,248.03,632224.0,,,,,,,,,,,,,,,
Большой Капучино,0,220.0,шт,34.66,7625.49,621.27,47374.51,9.0,9.0,250.0,55000.0,,,,,,,,,,,,,,,
Капучино,0,220.0,шт,25.84,5683.9,635.41,36116.1,7.0,7.0,190.0,41800.0,,,,,,,,,,,,,,,
Американо,0,256.0,шт,4.59,1175.55,2948.79,34664.45,7.0,6.0,140.0,35840.0,,,,,,,,,,,,,,,
Латте,0,161.0,шт,22.57,3634.26,874.61,31785.74,6.0,6.0,220.0,35420.0,,,,,,,,,,,,,,,
Флетуайт,0,110.0,шт,12.99,1429.0,1747.45,24971.0,5.0,4.0,240.0,26400.0,,,,,,,,,,,,,,,
Моти,0,78.0,шт,120.0,9360.0,78.53,7350.0,1.0,3.0,214.23,16710.0,,,,,,,,,,,,,,,
Десерт 350,0,55.0,шт,181.64,9990.0,62.85,6279.0,1.0,3.0,295.8,16269.0,,,,,,,,,,,,,,,
Сэндвич,0,47.0,шт,31.91,1500.0,959.87,14398.0,3.0,3.0,338.26,15898.0,,,,,,,,,,,,,,,
Большой американо,0,72.0,шт,11.18,805.17,1867.29,15034.83,3.0,3.0,220.0,15840.0,,,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка,0,39.0,шт,44.87,1750.0,797.03,13948.0,3.0,2.0,402.51,15698.0,,,,,,,,,,,,,,,
Трубочка со сгущенкой,0,59.0,шт,75.42,4450.0,97.64,4345.0,1.0,1.0,149.07,8795.0,,,,,,,,,,,,,,,
Гватемала Фуэго 1 кг,0,3.0,шт,,,,8667.0,2.0,1.0,2889.0,8667.0,,,,,,,,,,,,,,,
Блины с курицей и грибами,0,28.0,шт,170.0,4760.0,78.82,3752.0,1.0,1.0,304.0,8512.0,,,,,,,,,,,,,,,
Ролл креветка ВК,0,23.0,шт,52.17,1200.0,604.58,7255.0,1.0,1.0,367.61,8455.0,,,,,,,,,,,,,,,
Капучино альт. М,0,26.0,шт,4.26,110.63,6480.49,7169.37,1.0,1.0,280.0,7280.0,,,,,,,,,,,,,,,
Чай Облепиха,0,26.0,шт,9.68,251.68,2792.56,7028.32,1.0,1.0,280.0,7280.0,,,,,,,,,,,,,,,
Ролл Индейка ВК,0,22.0,шт,30.0,660.0,983.33,6490.0,1.0,1.0,325.0,7150.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 1кг,0,3.0,шт,,,,7140.0,1.0,1.0,2380.0,7140.0,,,,,,,,,,,,,,,
Бразилия Серрадо 1 кг,0,3.0,шт,,,,7137.0,1.0,1.0,2379.0,7137.0,,,,,,,,,,,,,,,
Капучино альт. Б,0,20.0,шт,11.79,235.76,2699.46,6364.24,1.0,1.0,330.0,6600.0,,,,,,,,,,,,,,,
Чай в стакан,0,41.0,шт,9.68,396.88,1552.89,6163.12,1.0,1.0,160.0,6560.0,,,,,,,,,,,,,,,
Онигурадзу Шеф,0,14.0,шт,45.71,640.0,887.5,5680.0,1.0,1.0,451.43,6320.0,,,,,,,,,,,,,,,
Вупи пай,0,26.0,шт,120.0,3120.0,101.6,3170.0,1.0,1.0,241.92,6290.0,,,,,,,,,,,,,,,
Соба / Удон с курицей Мфуд,0,18.0,шт,197.5,3555.0,74.26,2640.0,1.0,1.0,344.17,6195.0,,,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС,0,17.0,шт,229.41,3900.0,54.28,2117.0,,1.0,353.94,6017.0,,,,,,,,,,,,,,,
Сироп / 20 гр,0,100.0,шт,,,,6000.0,1.0,1.0,60.0,6000.0,,,,,,,,,,,,,,,
Бэрри 250,0,8.0,шт,,,,5912.0,1.0,1.0,739.0,5912.0,,,,,,,,,,,,,,,
Блины с ветчиной и сыром,0,20.0,шт,180.0,3600.0,60.39,2174.0,,1.0,288.7,5774.0,,,,,,,,,,,,,,,
Какао,0,19.0,шт,30.37,577.12,887.66,5122.88,1.0,1.0,300.0,5700.0,,,,,,,,,,,,,,,
Ролл Курица ВК,0,18.0,шт,,,,5608.0,1.0,1.0,311.56,5608.0,,,,,,,,,,,,,,,
Раф,0,18.0,шт,10.43,187.76,2776.01,5212.24,1.0,1.0,300.0,5400.0,,,,,,,,,,,,,,,
Кэнди 1 кг,0,2.0,шт,,,,5298.0,1.0,1.0,2649.0,5298.0,,,,,,,,,,,,,,,
Бэрри 1кг,0,2.0,шт,,,,5098.0,1.0,1.0,2549.0,5098.0,,,,,,,,,,,,,,,
Макарон,0,28.0,шт,100.0,2800.0,80.0,2240.0,,1.0,180.0,5040.0,,,,,,,,,,,,,,,
Латте АЙС,0,13.0,шт,9.63,125.25,3844.11,4814.75,1.0,1.0,380.0,4940.0,,,,,,,,,,,,,,,
Эфиопия гуджи 250,0,6.0,шт,,,,4914.0,1.0,1.0,819.0,4914.0,,,,,,,,,,,,,,,
Натти 1кг,0,2.0,шт,,,,4758.0,1.0,1.0,2379.0,4758.0,,,,,,,,,,,,,,,
Блины с творогом,0,15.0,шт,170.0,2550.0,82.35,2100.0,,1.0,310.0,4650.0,,,,,,,,,,,,,,,
Хорнет,0,16.0,шт,2.55,40.72,11294.89,4599.28,1.0,1.0,290.0,4640.0,,,,,,,,,,,,,,,
Доппио,0,21.0,шт,4.8,100.81,4482.88,4519.19,1.0,1.0,220.0,4620.0,,,,,,,,,,,,,,,
Хорнет Горячий,0,14.0,шт,9.42,131.84,3404.25,4488.16,1.0,1.0,330.0,4620.0,,,,,,,,,,,,,,,
Хорнет Б,0,13.0,шт,4.9,63.72,6836.6,4356.28,1.0,1.0,340.0,4420.0,,,,,,,,,,,,,,,
Кедровый Б,0,13.0,шт,26.23,340.97,1158.18,3949.03,1.0,1.0,330.0,4290.0,,,,,,,,,,,,,,,
Колумбия Богота 250,0,5.0,шт,,,,4145.0,1.0,1.0,829.0,4145.0,,,,,,,,,,,,,,,
Чизкейк САН СЕБАСТЬЯН / МАРАКУЙЯ,0,10.0,шт,200.0,2000.0,90.0,1800.0,,1.0,380.0,3800.0,,,,,,,,,,,,,,,
Отбивная куриная ВК,0,10.0,шт,,,,3775.0,1.0,1.0,377.5,3775.0,,,,,,,,,,,,,,,
Кедровый М,0,13.0,шт,12.7,165.07,2105.13,3474.93,1.0,1.0,280.0,3640.0,,,,,,,,,,,,,,,
Чай Апельсин,0,13.0,шт,9.68,125.84,2792.56,3514.16,1.0,1.0,280.0,3640.0,,,,,,,,,,,,,,,
Блины Том - ям,0,11.0,шт,200.0,2200.0,56.23,1237.0,,1.0,312.45,3437.0,,,,,,,,,,,,,,,
Муравейник,0,14.0,шт,120.0,1680.0,104.58,1757.0,,1.0,245.5,3437.0,,,,,,,,,,,,,,,
Флетуайт альт.,0,11.0,шт,8.47,93.17,3559.98,3316.83,1.0,1.0,310.0,3410.0,,,,,,,,,,,,,,,
