,,,,,,,,,,,,,,,
Остатки на дату,,,,,,,,,,,,,,,
29.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,,,,,
Остатки: на вечер,,,,,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Построен: 31.03.2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Кол-во,Ед. изм.,,,,,,,,,,,,,
Бокс крафт с ручками Б ,158.0,шт,,,,,,,,,,,,,
Пакет крафт ,484.0,шт,,,,,,,,,,,,,
Чай 100 гр Tasty ,127.0,,,,,,,,,,,,,,
Матча 100 гр ,12.0,шт,,,,,,,,,,,,,
"Чай ""Женьшень улун"" 100 гр ",5.0,шт,,,,,,,,,,,,,
чай Ганпаудер 250 гр / НА БАР ,9.0,шт,,,,,,,,,,,,,
Чай глинтвейн 100 гр ,14.0,шт,,,,,,,,,,,,,
Чай Лимон с имбирем 100 гр ,7.0,шт,,,,,,,,,,,,,
Чай липовый 100 гр. ,13.0,шт,,,,,,,,,,,,,
Чай Можевельник 100 гр ,4.0,шт,,,,,,,,,,,,,
Чай Молихуа Жасмин 100 гр ,12.0,шт,,,,,,,,,,,,,
Чай Молочный улун 100 гр ,5.0,шт,,,,,,,,,,,,,
Чай Рухуна 100 гр ,17.0,шт,,,,,,,,,,,,,
Чай Рухуна 250 гр / НА БАР ,4.0,шт,,,,,,,,,,,,,
Чай Сенча 100 гр ,17.0,шт,,,,,,,,,,,,,
Чай Тегуанинь 100 гр ,5.0,шт,,,,,,,,,,,,,
Чай Чабрец 100 гр ,1.0,шт,,,,,,,,,,,,,
Чай Черная смородина 100 гр ,2.0,шт,,,,,,,,,,,,,
Шоколад Unicava ,1017.0,,,,,,,,,,,,,,
Белый шоколад ВАНИЛЬНОЕ НЕБО ,7.0,шт,,,,,,,,,,,,,
Белый шоколад ГРЕШЬЮ ,4.0,шт,,,,,,,,,,,,,
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ ,1.0,шт,,,,,,,,,,,,,
Белый шоколад МАЛИНОВЫЙ БАМБЛ ,1.0,шт,,,,,,,,,,,,,
Белый шоколад ПЛАНЕТА АРАХИС ,3.0,шт,,,,,,,,,,,,,
Белый шоколад ТРОПИКАНО ,1.0,шт,,,,,,,,,,,,,
Горячий шоколад в стружке МОЛОЧНЫЙ НА БАЗУ 59% (300 г) ,3.0,шт,,,,,,,,,,,,,
Горячий шоколад в стружке Пряная клубника / Темный трюфель (1 кг) ,6.0,шт,,,,,,,,,,,,,
Драже КОФЕСТАШКА ,5.0,шт,,,,,,,,,,,,,
КАКАВА на чашку (Закуп) ,49.0,шт,,,,,,,,,,,,,
Какао классический UNICAVA 200 гр ,3.0,шт,,,,,,,,,,,,,
Молочный шоколад ГРЕЧИШКА ,4.0,шт,,,,,,,,,,,,,
Молочный шоколад Доминикана Око-Caribe 59 % ,5.0,шт,,,,,,,,,,,,,
Молочный шоколад ИНДОНЕЗИЯ West bali 50% какао ,1.0,шт,,,,,,,,,,,,,
Молочный шоколад КАПУЧИНО НА КОКОСЕ ,6.0,шт,,,,,,,,,,,,,
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD ,3.0,шт,,,,,,,,,,,,,
Молочный шоколад Колумбия ANEI 59 % ,6.0,шт,,,,,,,,,,,,,
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ ,6.0,шт,,,,,,,,,,,,,
Молочный шоколад неДубайский ,10.0,шт,,,,,,,,,,,,,
Молочный шоколад ТАЙНА ВОНКИ ,3.0,шт,,,,,,,,,,,,,
