Наименование,Общее кол-во,Луговая,Тургенева,Самокиша
Субмарина Бразилия Перископ Мармелада 200 гр,13.0,5.0,4.0,4.0
Субмарина ДРИПЫ,,,,
Субмарина МЕГА ДРИПЫ Бразилия Перископ Мармелада,2.0,1.0,,1.0
Субмарина МЕГА ДРИПЫ Симс / 6 шт,5.0,1.0,4.0,
Субмарина МЕГА ДРИПЫ Эфиопия Челбеса,3.0,,2.0,1.0
Субмарина Набор дрипов ассорти №23 / 30 шт,5.0,1.0,4.0,
Субмарина Набор дрипов ГАЙД В СПЕШЕЛТИ / 16 шт,5.0,1.0,3.0,1.0
Субмарина Набор дрипов КОНТИНЕНТЫ / 16 шт,4.0,1.0,3.0,
Субмарина Набор дрипов МЫТАЯ АФРИКА / 16 шт,5.0,1.0,3.0,1.0
Субмарина Набор дрипов ФЕРМЕНТАЦИЯ / 16 шт,4.0,1.0,3.0,
Субмарина Набор дрипов №24  / 16 шт,3.0,1.0,2.0,
Чай 100 гр Tasty,,,,
Матча 100 гр,11.0,2.0,7.0,2.0
"Чай ""Женьшень улун"" 100 гр",3.0,1.0,2.0,
чай Ганпаудер 250 гр / НА БАР,9.0,2.0,5.0,2.0
Чай глинтвейн 100 гр,14.0,3.0,5.0,6.0
Чай Лимон с имбирем 100 гр,5.0,1.0,,4.0
Чай липовый 100 гр.,10.0,2.0,4.0,4.0
Чай Можевельник 100 гр,4.0,3.0,,1.0
Чай Молихуа Жасмин 100 гр,10.0,4.0,5.0,1.0
Чай Молочный улун 100 гр,3.0,1.0,,2.0
Чай Рухуна 100 гр,8.0,,1.0,7.0
Чай Рухуна 250 гр / НА БАР,3.0,,1.0,2.0
Чай Сенча 100 гр,16.0,1.0,10.0,5.0
Чай Тегуанинь 100 гр,3.0,1.0,2.0,
Чай Черная смородина 100 гр,1.0,,,1.0
Шоколад Unicava,,,,
Белый шоколад ВАНИЛЬНОЕ НЕБО,14.0,1.0,10.0,3.0
Белый шоколад ГРЕШЬЮ,2.0,,,2.0
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ,10.0,1.0,9.0,
Белый шоколад ПЛАНЕТА АРАХИС,3.0,,3.0,
Белый шоколад ТРОПИКАНО,1.0,1.0,,
Драже КОФЕСТАШКА,20.0,,19.0,1.0
Драже ФИСТАШКА В ШОКОЛАДЕ,15.0,,15.0,
КАКАВА на чашку (Закуп),45.0,4.0,40.0,1.0
Какао классический UNICAVA 200 гр,3.0,1.0,1.0,1.0
Молочный шоколад БОЛЬШАЯ МЕДВЕДИЦА,25.0,,25.0,
Молочный шоколад ГРЕЧИШКА,16.0,4.0,12.0,
Молочный шоколад Доминикана Око-Caribe 59 %,12.0,1.0,9.0,2.0
Молочный шоколад КАПУЧИНО НА КОКОСЕ,12.0,2.0,9.0,1.0
Молочный шоколад КАРАМЕЛЬНЫЙ LEMON CURD,13.0,1.0,12.0,
Молочный шоколад Колумбия ANEI 59 %,15.0,1.0,10.0,4.0
Молочный шоколад МОЛОЧНЫЙ ЭРИТРИТ,11.0,2.0,9.0,
Молочный шоколад неДубайский,17.0,3.0,14.0,
Молочный шоколад ТАЙНА ВОНКИ,15.0,,15.0,
Плитка  КЛУБНИЧНЫЙ СОРБЕТ Б.ш. / 50 гр,1.0,1.0,,
Плитка ГОНДУРАС М. ш. / 50 гр,3.0,1.0,2.0,
Плитка ДАРК МИЛК М.ш. / 50 гр,9.0,3.0,5.0,1.0
Плитка ПЕРУ Мараньон М.ш. / 50 гр,3.0,,2.0,1.0
Плитка РАФАЭЛЬ  Б.ш. / 50 гр,2.0,1.0,1.0,
Плитка СЛАДКАЯ ТЫКОВКА / 50 гр,3.0,1.0,1.0,1.0
Плитка ТАИЛАНД Chanthaburi / 50 гр,5.0,2.0,3.0,
Плитка ТАЙНА ВОНКИ / 50 гр,1.0,,1.0,
Плитка Шмель Б.ш. / 50 гр,1.0,,,1.0
Темный шоколад 70% ДОМИНИКАНА,4.0,1.0,2.0,1.0
Темный шоколад ВЬЕТНАМ OCA 70%,4.0,,2.0,2.0
Темный шоколад Индонезия Ransiki 70 %,4.0,,2.0,2.0
Темный шоколад Индонезия West Bali 70%,9.0,,9.0,
