,,,,,,,,,,,
ABC и XYZ анализ,,,,,,,,,,,
01.04.2026-30.04.2026,,,,,,,,,,,
,,,,,,,,,,,
"Раздел каталога: Вода / Сок / Батончики, Десерты, Еда, Какао / Шоколад в банке Tasty, Дрипы, Субмарина ДРИПЫ, Субмарина 250 гр / 1 кг, Зерно фильтр 250 гр, Зерно эспрессо 250 гр, Зерно 1 кг, Чай 100 гр Tasty, Шоколад Unicava, НАПИТКИ, Мой Чай",,,,,,,,,,,
Наша компания: Наша компания,,,,,,,,,,,
,,,,,,,,,,,
Детализация: Номенклатура,,,,,,,,,,,
"Группы: A: 80, B: 15, C: 5; период: месяц",,,,,,,,,,,
Построен: 17.04.2026,,,,,,,,,,,
,,,,,,,,,,,
,Сумма,,Количество,,,Наценка,,Цена,Себест.,Сумма себест.,"Доля себест, %"
,,,,Ед. изм.,,,,,,,
Кофе альт молоко М персонал,1800.0,A,20.0,шт,A,817.87,C,90.0,49.11,982.13,55.0
Кофе с молоком персонал М,1600.0,B,20.0,шт,A,-637.4,C,80.0,111.87,2237.4,140.0
Молоко персонал,630.0,C,18.0,шт,B,-934.0,C,35.0,86.89,1564.0,248.0
Стакан 350 (персонал),42.0,C,6.0,шт,C,5.4,C,7.0,6.1,36.6,87.0
Стакан 250 (персонал),14.0,C,2.0,шт,C,4.08,C,7.0,4.96,9.92,71.0
Настройка помола двойник,,C,42.0,шт,A,-1247.22,C,0.0,29.7,1247.22,
Настройка помола одинарная,,C,16.0,шт,C,-283.92,C,0.0,17.75,283.92,
Еда,665795.0,A,2065.0,,A,278515.65,A,322.42,187.54,387279.35,58.0
Наша кухня,444012.0,A,1194.0,,A,193139.86,A,371.87,210.11,250872.14,57.0
Сэндвич,82056.0,A,240.0,шт,A,27669.68,A,341.9,226.61,54386.32,66.0
Онигурадзу семга/ краб/ креветка,81368.0,A,191.0,шт,A,40493.0,A,426.01,214.01,40875.0,50.0
Ролл креветка ВК,57445.0,A,154.0,шт,A,21205.0,A,373.02,235.32,36240.0,63.0
Ролл Индейка ВК,44355.0,A,136.0,шт,A,17119.01,A,326.14,200.26,27235.99,61.0
Ролл Курица ВК,41248.0,A,126.0,шт,A,16153.33,A,327.37,199.16,25094.67,61.0
Онигурадзу Шеф,34000.0,A,73.0,шт,A,13718.17,A,465.75,277.83,20281.83,60.0
Боул индейка ВК,26290.0,B,68.0,шт,B,11570.0,B,386.62,216.47,14720.0,56.0
Боул семга ВК,23497.0,B,54.0,шт,B,6813.67,B,435.13,308.95,16683.33,71.0
Салат Цезарь,20386.0,B,59.0,шт,B,16096.0,A,345.53,72.71,4290.0,21.0
Отбивная куриная ВК,15850.0,C,40.0,шт,C,10890.0,B,396.25,124.0,4960.0,31.0
Рис индейка терияки ВК,8899.0,C,27.0,шт,C,4774.0,C,329.59,152.78,4125.0,46.0
Салат Баклажан,8618.0,C,26.0,шт,C,6638.0,C,331.46,76.15,1980.0,23.0
Умами,109857.0,B,518.0,,B,40761.29,B,212.08,133.39,69095.71,63.0
Ролл том - ям / Ролл курица ШЕФ УМАМИ,22828.0,A,158.0,шт,A,7028.0,A,144.48,100.0,15800.0,69.0
Блины с курицей и грибами,19322.0,A,65.0,шт,A,8272.0,A,297.26,170.0,11050.0,57.0
Сосиска в тесте,17515.0,A,133.0,шт,A,6945.0,A,131.69,79.47,10570.0,60.0
Блины с ветчиной и сыром,15562.0,A,55.0,шт,A,5662.0,A,282.95,180.0,9900.0,64.0
Умами ГРЕЧКА / РИС,13790.0,B,37.0,шт,B,4754.29,B,372.7,244.21,9035.71,66.0
Блины с творогом,12208.0,B,42.0,шт,B,5068.0,B,290.67,170.0,7140.0,58.0
Блины Том - ям,8632.0,C,28.0,шт,C,3032.0,C,308.29,200.0,5600.0,65.0
МФуд,59847.0,B,192.0,,B,24584.5,B,311.7,183.66,35262.5,59.0
Соба / Удон с курицей Мфуд,30380.0,A,91.0,шт,A,12477.5,A,333.85,196.73,17902.5,59.0
Сырники,14388.0,A,48.0,шт,A,5748.0,A,299.75,180.0,8640.0,60.0
Чиабатта,7155.0,B,25.0,шт,B,2680.0,C,286.2,179.0,4475.0,63.0
Грибной крем суп,6422.0,C,19.0,шт,C,3097.0,B,338.0,175.0,3325.0,52.0
Пицца 1 кус.,1502.0,C,9.0,шт,C,582.0,C,166.89,102.22,920.0,61.0
Смакотерия,52079.0,C,161.0,,C,20030.0,C,323.47,199.06,32049.0,62.0
Фокачча,20532.0,A,62.0,шт,A,7033.0,A,331.16,217.73,13499.0,66.0
Киш мясной СМАК,16899.0,A,56.0,шт,A,7594.0,A,301.77,166.16,9305.0,55.0
Киш с рыбой СМАК,14648.0,C,43.0,шт,C,5403.0,C,340.65,215.0,9245.0,63.0
Десерты,298140.0,B,1317.0,,B,135855.0,B,226.38,123.22,162285.0,54.0
Десерт 350,96257.0,A,291.0,шт,A,43067.0,A,330.78,182.78,53190.0,55.0
Моти,63180.0,A,294.0,шт,A,27900.0,A,214.9,120.0,35280.0,56.0
Трубочка со сгущенкой,23600.0,A,147.0,шт,A,11840.0,A,160.54,80.0,11760.0,50.0
Макарон,22260.0,A,124.0,шт,A,9860.0,A,179.52,100.0,12400.0,56.0
Вупи пай,17580.0,A,72.0,шт,A,8940.0,A,244.17,120.0,8640.0,49.0
Пирожное Шу,12720.0,A,60.0,шт,B,5520.0,B,212.0,120.0,7200.0,57.0
Муравейник,11893.0,B,49.0,шт,B,6013.0,A,242.71,120.0,5880.0,49.0
Тарталетка Орех,8638.0,B,33.0,шт,B,2698.0,C,261.76,180.0,5940.0,69.0
Творожный / Морковный  КЕКС,8167.0,B,70.0,шт,A,3617.0,B,116.67,65.0,4550.0,56.0
Чизкейк САН СЕБАСТЬЯН / МАРАКУЙЯ,7625.0,B,22.0,шт,C,3225.0,B,346.59,200.0,4400.0,58.0
Пряник на палочке,6480.0,B,48.0,шт,B,3840.0,B,135.0,55.0,2640.0,41.0
Тыквенный пирог,6480.0,C,24.0,шт,C,4080.0,B,270.0,100.0,2400.0,37.0
Трубочка с кремом,5560.0,C,51.0,шт,B,1990.0,C,109.02,70.0,3570.0,64.0
Тарталетка Лимон,4180.0,C,20.0,шт,C,1780.0,C,209.0,120.0,2400.0,57.0
Пряник раскраска,3300.0,C,11.0,шт,C,1265.0,C,300.0,185.0,2035.0,62.0
Эскимо,220.0,C,1.0,шт,C,220.0,C,220.0,0.0,0.0,
Зерно 1 кг,112663.0,B,44.0,,C,93343.23,B,2560.52,439.09,19319.77,17.0
Бразилия Серрадо 1 кг,16653.0,A,7.0,шт,A,9665.5,A,2379.0,998.21,6987.5,42.0
Натти 1кг,16653.0,A,7.0,шт,A,16653.0,A,2379.0,0.0,0.0,
Эфиопия Иргачефф 1кг,14280.0,A,6.0,шт,A,8300.0,A,2380.0,996.67,5980.0,42.0
Бэрри 1кг,12745.0,A,5.0,шт,A,12745.0,A,2549.0,0.0,0.0,
Флорал 1кг,10876.0,A,4.0,шт,A,10876.0,A,2719.0,0.0,0.0,
Кэнди 1 кг,7947.0,A,3.0,шт,A,6387.0,A,2649.0,520.0,1560.0,20.0
Хани 1 кг,7827.0,A,3.0,шт,A,7827.0,A,2609.0,0.0,0.0,
Колумбия Богота 1 кг,5638.0,B,2.0,шт,B,5638.0,B,2819.0,0.0,0.0,
Брауни 1 кг,5438.0,B,2.0,шт,B,2123.0,C,2719.0,1657.5,3315.0,61.0
Ягодный джем 1 кг,3300.0,B,1.0,шт,C,3300.0,B,3300.0,0.0,0.0,
Кения Найроби 1 кг,2949.0,B,1.0,шт,B,2949.0,B,2949.0,0.0,0.0,
Гватемала Фуэго 1 кг,2889.0,C,1.0,шт,B,1411.73,C,2889.0,1477.27,1477.27,51.0
Эфиопия Оромия 1кг,2889.0,C,1.0,шт,C,2889.0,B,2889.0,0.0,0.0,
Фрутти 1кг,2579.0,C,1.0,шт,C,2579.0,C,2579.0,0.0,0.0,
Зерно эспрессо 250 гр,98768.0,B,127.0,,C,69257.93,B,777.7,232.36,29510.07,30.0
Флорал 250,11985.0,A,15.0,шт,A,6727.52,A,799.0,350.5,5257.48,44.0
Эфиопия Иргачефф 250,11235.0,A,15.0,шт,A,6908.7,A,749.0,288.42,4326.3,39.0
Бразилия серрадо 250,10935.0,A,15.0,шт,A,6135.4,A,729.0,319.97,4799.6,44.0
Брауни 250,10387.0,A,13.0,шт,A,6971.3,A,799.0,262.75,3415.7,33.0
Натти 250,7908.0,A,12.0,шт,A,3384.0,A,659.0,377.0,4524.0,57.0
Колумбия Богота 250,5803.0,A,7.0,шт,A,5803.0,A,829.0,0.0,0.0,
Кэнди 250,5033.0,A,7.0,шт,A,2166.5,B,719.0,409.5,2866.5,57.0
Фрутти 250,4494.0,A,6.0,шт,A,4494.0,A,749.0,0.0,0.0,
Бэрри 250,4434.0,A,6.0,шт,A,4434.0,A,739.0,0.0,0.0,
Эфиопия Оромия 250,4100.0,A,5.0,шт,A,2408.91,B,820.0,338.22,1691.09,41.0
Колумбия Декаф 250,3756.0,B,4.0,шт,B,3756.0,A,939.0,0.0,0.0,
Батч-брю Лоукаф 250 гр,3396.0,B,4.0,шт,B,3396.0,A,849.0,0.0,0.0,
Руанда Кигали 250 гр,2637.0,B,3.0,шт,B,2637.0,A,879.0,0.0,0.0,
Фанки 250,2637.0,B,3.0,шт,C,2637.0,B,879.0,0.0,0.0,
Кения Найроби 250 гр,2607.0,B,3.0,шт,B,1673.6,B,869.0,311.13,933.4,36.0
Коста Рика сан Хосе 250,2547.0,C,3.0,шт,B,2112.8,B,849.0,144.73,434.2,17.0
Гватемала Фуэго 250,1698.0,C,2.0,шт,C,1272.2,C,849.0,212.9,425.8,25.0
Эфиопия гуджи 250,1638.0,C,2.0,шт,C,1638.0,C,819.0,0.0,0.0,
Хани 250 гр,1538.0,C,2.0,шт,C,702.0,C,769.0,418.0,836.0,54.0
Шоколад Unicava,43040.0,C,165.0,,C,24233.53,C,260.85,113.98,18806.47,44.0
Темный шоколад ПРЯНАЯ КЛУБНИКА,4000.0,A,8.0,шт,A,3343.53,A,500.0,82.06,656.47,16.0
Молочный шоколад БОЛЬШАЯ МЕДВЕДИЦА,3420.0,A,6.0,шт,A,1080.0,A,570.0,390.0,2340.0,68.0
"Шоколад  НА КУСЬ / Tasty, 5г",2670.0,A,89.0,шт,A,2670.0,A,30.0,0.0,0.0,
Темный шоколад УРАЛЬСКАЯ БРУСНИКА,2160.0,A,4.0,шт,A,2160.0,A,540.0,0.0,0.0,
Темный шоколад ПЕРУАНСКАЯ ВИШНЯ,2120.0,A,4.0,шт,A,680.0,A,530.0,360.0,1440.0,68.0
Темный шоколад ОРЕХОВЫЙ ВАЙБ,1960.0,A,4.0,шт,A,560.0,A,490.0,350.0,1400.0,71.0
