22.04.2024","Общее количесто 22.04
(для сайта)","Тургенева 
12.05.2024","Самокиша 
12.05.2024","Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,"Общее количесто
(для сайта)",Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто,Тургенева ,Самокиша ,Луговая,Общее количесто
Аксессуары для кофе / Сопутка |  TASTY
Английский завтрак 100 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,10,10,5,0,15,10,5,0,15,7,5,2,14,0,0,0,0,10,0,0,10,0,0,0,0
Женьшень Улун 100 грамм,Tasty coffee,3,5,3,5,1,5,1,5,4,1,2,1,2,1,17,2,9,9,9,9,9,8,9,6,8,6,8,4,8,4,8,4,8,4,8,4,7,2,7,2,7,1,7,1,7,1,7,0,3,4,7,3,3,6,3,3,6,3,3,6,3,1,4,1,2,3,1,1,0,2,1,0,0,2,1,0,,11,5,0,16,11,3,0,14,11,3,0,14,7,4,2,13,1,1,1,3,1,1,1,3,0,0,0,0
Матча 100 гр,Tasty coffee,0,0,0,5,0,5,0,5,3,2,3,2,2,1,7,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,1,2,1,2,0,2,1,0,1,0,1,0,11,0,8,2,10,7,2,9,7,1,8,3,3,6,3,3,6,1,0,1,0,0,1,,0,0,1,,0,0,,1,1,1,3,1,0,1,2,10,3,0,13,2,1,0,3,2,2,2,6,3,2,2,7,2,1,1,4
Чай Ассам Диджу 100 гр,Tasty coffee,1,7,1,7,1,7,1,7,4,3,3,2,3,1,1,3,1,3,0,3,5,8,5,8,5,8,5,8,4,8,4,7,4,7,4,6,4,6,4,6,2,6,2,6,1,6,1,4,0,4,4,0,4,4,0,4,4,0,4,4,0,4,4,1,2,3,1,2,0,3,1,2,0,3,1,2,,1,2,0,3,1,2,0,3,1,2,0,3,1,1,0,2,4,2,2,8,3,2,2,7,0,2,0,2
Чай Ганпаудер 100 гр,Tasty coffee,3,14,3,14,3,14,3,14,9,8,8,8,8,8,8,8,8,8,7,8,7,8,7,8,7,7,7,7,7,7,7,6,5,6,5,4,5,4,5,4,3,4,3,3,3,3,3,3,2,2,4,2,2,4,2,2,4,2,2,4,21,2,23,15,4,19,10,4,5,19,7,3,5,19,7,3,,7,3,5,15,7,3,5,15,7,3,5,15,5,3,5,13,1,5,0,6,1,4,0,5,0,0,0,0
Чай глинтвей 100 гр,Tasty coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,2,1,2,1,2,0,1,0,0,0,0,0,,0,0,,0,0,,0,0,,10,0,,7,2,9,4,2,3,9,4,1,3,9,4,1,,4,0,3,7,4,0,0,4,4,0,2,6,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Чай Дерзкий фрукт 100 гр,Tasty coffee,11,0,11,0,11,0,11,0,6,15,6,15,6,14,14,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,13,6,12,6,12,6,11,6,11,5,11,5,11,5,16,11,5,16,11,5,16,11,5,16,11,5,16,11,5,16,9,5,2,16,9,5,2,16,9,5,,9,4,2,15,9,4,2,15,9,4,1,14,7,4,3,14,0,1,0,1,10,1,0,11,0,1,1,2
"Чай зеленый ""Матча"" 250 гр",Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,5,1,0,6,1,0,1,2
"Чай зеленый ""Сенча"" 250 гр",Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Чай Лесные ягоды 100 гр,Tasty coffee,6,0,6,0,6,0,6,0,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,5,2,3,5,2,3,5,2,3,5,1,3,4,1,3,4,1,3,0,4,0,3,0,4,0,3,,0,3,0,3,0,3,0,3,0,3,0,3,0,0,0,0,4,2,2,8,4,1,0,5,0,0,0,0
Чай Лимон с имбирем 100 гр,Tasty coffee,,,,,,,,,,,,,,,8,0,4,4,4,4,4,4,3,4,3,4,3,4,3,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,2,0,2,2,0,2,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Чай липовый 100 гр,Tasty coffee,2,0,2,0,2,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,2,10,8,2,10,8,2,10,8,2,10,7,2,9,7,1,8,4,1,3,8,4,1,3,8,3,1,,3,1,1,5,2,1,1,4,2,1,1,4,0,1,0,1,0,0,0,0,0,0,0,0,3,2,2,7
Чай Масала 100 гр,Tasty coffee,0,0,0,0,6,0,6,0,4,1,4,1,4,1,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,2,0,4,2,2,0,4,2,2,,2,2,0,4,2,2,0,4,2,2,0,4,0,2,0,2,0,3,1,4,0,3,1,4,0,0,0,0
Чай Молихуа Жасмин 100 гр,Tasty coffee,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,3,3,2,3,2,3,2,3,2,3,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,2,10,6,2,8,6,2,8,6,1,7,6,1,7,4,3,7,2,4,1,7,0,4,1,7,0,4,,0,4,0,4,0,4,0,4,0,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,2,2,3,7
Чай Молочный улун 100 гр,Tasty coffee,1,2,1,2,0,2,0,2,1,16,1,16,7,8,24,7,16,15,16,15,16,15,14,15,14,15,14,15,14,14,12,13,12,13,12,13,12,13,12,13,12,13,12,13,11,11,11,7,11,6,17,11,6,17,10,6,16,10,6,16,10,5,15,9,4,13,6,4,3,13,4,3,3,13,4,3,,4,2,2,8,4,1,2,7,4,0,2,6,2,1,1,4,6,5,3,14,6,5,3,14,0,0,0,0
Чай мятный 100 гр,Tasty coffee,2,0,2,0,2,0,2,0,2,6,2,5,2,5,5,2,4,1,4,1,4,1,2,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
Чай Нувара Элия 100 гр,Tasty coffee,0,5,0,5,0,5,0,5,2,3,2,3,2,3,3,2,3,2,3,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,10,2,10,2,12,10,2,12,10,2,12,10,2,12,9,2,11,8,2,10,5,2,3,10,3,2,3,10,3,2,,3,2,1,6,3,2,1,6,3,2,0,5,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Чай Пуэр дворцовый 100 гр,Tasty coffee,9,0,9,0,9,0,9,0,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,5,3,5,13,5,13,5,13,5,13,5,13,5,13,5,13,5,13,5,18,13,5,18,13,5,18,13,5,18,13,5,18,12,5,17,10,5,2,17,10,5,2,17,10,5,,10,5,2,17,10,5,2,17,10,5,2,17,8,5,2,15,0,2,0,2,0,2,0,2,0,2,0,2
Чай Рухуна 100 гр,Tasty coffee,0,0,0,0,20,0,20,0,9,10,7,5,7,5,5,7,4,1,4,1,9,5,9,5,9,1,5,5,5,5,4,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,15,0,8,5,13,1,5,6,1,5,6,1,5,6,20,5,25,12,11,23,0,8,4,12,0,7,4,12,0,7,,20,16,4,40,19,16,4,39,16,12,4,32,33,0,0,33,13,9,5,27,12,8,5,25,0,0,0,0
Чай Рухуна 250 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,2,6,0,4,2,6,0,0,0,0
Чай Сенча 100 гр,Tasty coffee,4,8,4,8,2,8,2,8,2,8,2,7,1,7,6,1,4,1,4,1,4,1,4,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,12,1,8,5,13,8,5,13,8,5,13,8,5,13,8,5,13,8,5,13,5,5,3,13,5,5,3,13,5,5,,5,5,1,11,5,5,1,11,5,5,0,10,3,5,1,9,6,4,2,12,6,4,2,12,0,0,0,0
Чай со специями Апельсиновый 100 гр,Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Чай со специями Апельсин. 250 гр (НА БАР),Tasty coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0
Чай Тегуанинь 100 гр,Tasty coffee,7,2,7,2,15,9,14,9,14,9,14,9,14,9,8,14,8,13,7,13,6,12,6,12,6,12,4,12,5,11,4,10,3,10,4,6,6,5,5,5,5,5,5,5,4,5,4,5,4,5,9,4,5,9,4,4,8,4,4,8,4,4,8,4,4,8,2,4,2,8,2,4,2,8,2,4,,2,4,1,7,2,4,1,7,2,4,1,7,2,3,1,6,8,6,2,16,8,6,0,14,1,0,1,2
Чай Тегуанинь 250 гр,Tasty coffee,,,,,,,,,0,4,0,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,2,4,2,2,4,2,2,4,2,1,3,1,1,1,3,1,1,1,3,1,1,,1,1,1,3,1,1,1,3,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Чай Чабрец 100 гр,Tasty coffee,2,2,2,2,2,2,2,0,2,0,2,0,2,0,0,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,6,3,5,3,5,3,5,3,5,1,15,1,10,6,16,10,6,16,10,6,16,8,6,14,8,6,14,8,6,14,5,6,3,14,5,4,3,14,5,4,,4,4,4,12,3,4,4,11,3,3,3,9,2,3,2,7,0,5,1,6,0,5,1,6,2,2,2,6
Чай Черная смородина 100 гр,Tasty coffee,6,0,6,0,6,0,6,0,4,1,5,1,5,1,1,5,1,5,1,5,1,5,1,5,1,5,2,3,2,3,1,3,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,2,1,1,0,2,3,2,2,7
Чай Эрл грей 100 гр,Tasty coffee,3,0,3,0,3,0,3,0,2,0,2,0,2,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10,0,4,5,4,4,3,3,2,3,2,3,2,3,2,1,3,2,1,3,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,2,2,3,7,2,1,1,4,4,1,2,7

Чай 50 / 100 гр   |    МОЙ ЧАЙ
"Новогодний чай ""Змей"" черный с травами и пряностями 50 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,7,2,3,1,6,2,3,1,6
"Чай ""Август"" травяной сбор 80гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,8,3,3,2,8,3,3,2,8
"Чай ""Алтай"" травяной сбор 100 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,2,1,1,4,2,1,1,4
"Чай ""Аууу"" травяной сбор 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,2,0,1,3,2,0,1,3
"Чай ""Бабка"" с корнеплодами 80 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
"Чай ""Боровик"" травяной сбор 50 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
"Чай ""Буян"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,0,0,0,0
"Чай ""Вишневое море"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,5,0,0,1,1,0,0,0,0
"Чай ""Габа Иван чай"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,2,1,1,4,2,1,1,4
"Чай ""ГорМа"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,8,1,4,2,7,1,2,1,4
"Чай ""Деревенский"" 50 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,2,8,5,1,1,7,4,1,1,6
"Чай ""Дивный"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,6,3,0,2,5,3,0,2,5
"Чай ""Женский"" Перукуа 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
"Чай ""Закатный ветер"" 80 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,9,4,2,3,9,4,2,3,9
"Чай ""Зов Духа"" 80 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,0,1,1,0,0,1,1
"Чай ""Иван в красном халате"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,3,0,2,1,3,0,2,1,3
"Чай ""Йогическая сила"" зеленый чай с травами 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
"Чай ""Крепкая дружба"" с чабрецом 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,12,4,4,3,11,4,4,3,11
"Чай ""Лесная тишь 80 гр""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,0,2,1,3,0,2,1,3
"Чай ""Лесной"" 50 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,5,0,0,1,1,0,0,1,1
"Чай ""Лесной Шу"" пуэр с травами",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
"Чай ""Леший"" травяной с мухомором 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,8,2,1,1,4,2,0,1,3
"Чай ""Педагогическая сила"" травяной с валерьяной 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,4,0,0,3,3,0,0,3,3
"Чай ""Пряный"" черный с пряностями 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0
"Чай ""Радость"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,0,0,0
"Чай ""Северный"" с солодкой 50 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,6,2,1,2,5,2,1,2,5
Чай «Сорока Ворона»  с травами и ягодами 80гр,Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,3,16,7,6,3,16,7,6,3,16
"Чай ""Успокоительный"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,0,0,2,2,0,0,2,2
"Чай ""Хвойная диковина"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,6,3,0,2,5,2,0,2,4
"Чай ""Шу пуэр"" 2017 г. 50 гр",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,0,0
"Чай ""Шуликун"" 80 гр",Мой ЧАЙ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,3,18,9,5,3,17,8,5,3,16

Шоколад Cacava
Белый шоколад ВАНИЛЬНОЕ НЕБО,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,6,2,3,11,,,,0,4,3,2,9,4,3,2,9,4,3,1,8
Белый шоколад ГРЕШЬЮ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,,,,,,,,,,4,7,5,16,,,,0,4,2,2,8,3,2,2,7,3,2,1,6
Белый шоколад КЛУБНИЧНЫЙ СОРБЕТ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,7,4,0,3,7,4,0,3,7
Белый шоколад МАЛИНОВЫЙ БАМБЛ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,2,2,5,9,,,,0,0,3,4,7,0,3,2,5,0,2,2,4
Белый шоколад РАФАЭЛЬ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
Белый шоколад ФИСТАШКОВАЯ НЯШКА,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,6,3,2,11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Драже КОФЕСТАШКА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,2,11,13,6,2,21,11,6,3,20
Драже ФИСТАШКА В ШОКОЛАДЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,2,6,10,2,2,14,8,0,3,11
Какао Cacava 200 гр ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,4,2,2,8,,,,0,0,0,0,0,4,0,0,4,2,1,0,3
Молочный шоколад Бразилия Bom Jesus 50%,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Молочный шоколад  БРАЗИЛИЯ Liara 50%,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,3,7,3,0,2,5,3,0,2,5
Молочный шоколад  Гречишка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,2,2,2
Молочный шоколад ДОМИНИКАНА 50%,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
Молочный шоколад ИНДОНЕЗИЯ West bali 50% ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,4,4,8,16,,,,0,5,3,2,10,6,5,2,13,6,5,1,12
Молочный шоколад КАПУЧИНО НА КОКОСЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,4,0,0,2,2,0,0,2,2
Молочный шоколад КАРАМЕЛЬНЫЙ lemon curd ,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,2,9,0,1,10,5,0,2,7
Молочный шоколад МОРОЖЕНКА,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,4,5,3,1,9,5,3,1,9
Молочный шоколад НА ЭРИТРИТЕ / 50%,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,7,3,5,15,,,,0,1,2,0,3,4,3,0,7,2,2,0,4
Молочный шоколад неДубайский,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,4,0,1,5,2,0,0,2
Молочный шоколад НИКАРАГУА O'Tuma 50%,Cacava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,1,1
