,,,,,,,,,,,,,,,,,,,,,,,,,,
Отчет по продажам,,,,,,,,,,,,,,,,,,,,,,,,,,
30.03.2026-14.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Наша компания: Все юридические лица,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Детализация: Склад > Номенклатура,,,,,,,,,,,,,,,,,,,,,,,,,,
Построен: 15.04.2026,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Кол-во,Ед. изм.,Закупочные цены,,Наценка,,,Продажа,,,,,,,,,,,,,,,,,
,,,,Себест.,Сумма себест.,Наценка %,Сумма наценки,Доля наценки,"Доля, %",Ср. цена,Сумма,,,,,,,,,,,,,,,
,,9600.0,,87.18,836912.49,180.47,1510402.51,,,244.51,2347315.0,,,,,,,,,,,,,,,
Тургенева 20,0.0,4772.0,,93.38,445602.54,162.02,721964.46,48.0,50.0,244.67,1167567.0,,,,,,,,,,,,,,,
Капучино,0.0,370.0,шт,44.5,16466.03,326.94,53833.97,7.0,6.0,190.0,70300.0,,,,,,,,,,,,,,,
Большой Капучино,0.0,206.0,шт,67.32,13868.44,271.35,37631.56,5.0,4.0,250.0,51500.0,,,,,,,,,,,,,,,
Десерт 350,0.0,149.0,шт,183.22,27300.0,80.99,22109.0,3.0,4.0,331.6,49409.0,,,,,,,,,,,,,,,
Американо,0.0,345.0,шт,27.03,9324.52,417.99,38975.48,5.0,4.0,140.0,48300.0,,,,,,,,,,,,,,,
Латте,0.0,214.0,шт,54.62,11688.94,302.77,35391.06,5.0,4.0,220.0,47080.0,,,,,,,,,,,,,,,
Онигурадзу семга/ краб/ креветка,0.0,95.0,шт,226.32,21500.0,89.58,19259.0,3.0,3.0,429.04,40759.0,,,,,,,,,,,,,,,
Сэндвич,0.0,86.0,шт,250.0,21500.0,37.38,8036.0,1.0,3.0,343.44,29536.0,,,,,,,,,,,,,,,
Моти,0.0,130.0,шт,120.0,15600.0,78.53,12250.0,2.0,2.0,214.23,27850.0,,,,,,,,,,,,,,,
Флетуайт,0.0,110.0,шт,58.94,6483.58,307.18,19916.42,3.0,2.0,240.0,26400.0,,,,,,,,,,,,,,,
Ролл креветка ВК,0.0,68.0,шт,240.0,16320.0,54.9,8960.0,1.0,2.0,371.76,25280.0,,,,,,,,,,,,,,,
Капучино альт. Б,0.0,75.0,шт,86.44,6483.13,281.76,18266.87,3.0,2.0,330.0,24750.0,,,,,,,,,,,,,,,
Большой американо,0.0,112.0,шт,40.75,4564.14,439.86,20075.86,3.0,2.0,220.0,24640.0,,,,,,,,,,,,,,,
Соба / Удон с курицей Мфуд,0.0,61.0,шт,195.78,11942.5,69.98,8357.5,1.0,2.0,332.79,20300.0,,,,,,,,,,,,,,,
Ролл Курица ВК,0.0,61.0,шт,220.0,13420.0,49.18,6600.0,1.0,2.0,328.2,20020.0,,,,,,,,,,,,,,,
Ролл Индейка ВК,0.0,59.0,шт,220.0,12980.0,50.0,6490.0,1.0,2.0,330.0,19470.0,,,,,,,,,,,,,,,
Фокачча,0.0,57.0,шт,218.86,12475.0,53.49,6673.0,1.0,2.0,335.93,19148.0,,,,,,,,,,,,,,,
Боул индейка ВК,0.0,47.0,шт,215.32,10120.0,81.42,8240.0,1.0,2.0,390.64,18360.0,,,,,,,,,,,,,,,
Онигурадзу Шеф,0.0,35.0,шт,292.57,10240.0,58.2,5960.0,1.0,1.0,462.86,16200.0,,,,,,,,,,,,,,,
Ролл том - ям / Ролл курица ШЕФ УМАМИ,0.0,105.0,шт,100.0,10500.0,45.05,4730.0,1.0,1.0,145.05,15230.0,,,,,,,,,,,,,,,
Чай в стакан,0.0,94.0,шт,8.48,797.47,1785.96,14242.53,2.0,1.0,160.0,15040.0,,,,,,,,,,,,,,,
Боул семга ВК,0.0,33.0,шт,325.0,10725.0,36.35,3899.0,1.0,1.0,443.15,14624.0,,,,,,,,,,,,,,,
Киш мясной СМАК,0.0,46.0,шт,166.2,7645.0,85.9,6567.0,1.0,1.0,308.96,14212.0,,,,,,,,,,,,,,,
Сосиска в тесте,0.0,108.0,шт,78.52,8480.0,67.39,5715.0,1.0,1.0,131.44,14195.0,,,,,,,,,,,,,,,
Киш с рыбой СМАК,0.0,40.0,шт,215.0,8600.0,61.48,5287.0,1.0,1.0,347.18,13887.0,,,,,,,,,,,,,,,
Салат Цезарь,0.0,39.0,шт,22.56,880.0,1451.14,12770.0,2.0,1.0,350.0,13650.0,,,,,,,,,,,,,,,
Какао,0.0,44.0,шт,48.93,2152.91,513.12,11047.09,2.0,1.0,300.0,13200.0,,,,,,,,,,,,,,,
Отбивная куриная ВК,0.0,31.0,шт,50.0,1550.0,719.68,11155.0,2.0,1.0,409.84,12705.0,,,,,,,,,,,,,,,
Капучино альт. М,0.0,44.0,шт,56.73,2496.25,393.54,9823.75,1.0,1.0,280.0,12320.0,,,,,,,,,,,,,,,
Натти 1кг,0.0,5.0,шт,,,,11895.0,2.0,1.0,2379.0,11895.0,,,,,,,,,,,,,,,
Эспрессо,0.0,83.0,шт,21.44,1779.27,553.08,9840.73,1.0,1.0,140.0,11620.0,,,,,,,,,,,,,,,
Макарон,0.0,62.0,шт,100.0,6200.0,79.03,4900.0,1.0,1.0,179.03,11100.0,,,,,,,,,,,,,,,
Чай Апельсин,0.0,38.0,шт,8.59,326.43,3159.5,10313.57,1.0,1.0,280.0,10640.0,,,,,,,,,,,,,,,
Сырники,0.0,32.0,шт,180.0,5760.0,66.6,3836.0,1.0,1.0,299.88,9596.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 1кг,0.0,4.0,шт,1495.0,5980.0,59.2,3540.0,,1.0,2380.0,9520.0,,,,,,,,,,,,,,,
Молоко / 50 гр,0.0,233.0,шт,92.0,21436.0,-56.52,-12116.0,-2.0,1.0,40.0,9320.0,,,,,,,,,,,,,,,
Блины с курицей и грибами,0.0,30.0,шт,170.0,5100.0,79.06,4032.0,1.0,1.0,304.4,9132.0,,,,,,,,,,,,,,,
Раф,0.0,30.0,шт,59.14,1774.27,407.25,7225.73,1.0,1.0,300.0,9000.0,,,,,,,,,,,,,,,
Чай Облепиха,0.0,32.0,шт,8.49,271.78,3196.78,8688.22,1.0,1.0,280.0,8960.0,,,,,,,,,,,,,,,
Трубочка со сгущенкой,0.0,54.0,шт,80.0,4320.0,97.11,4195.0,1.0,1.0,157.69,8515.0,,,,,,,,,,,,,,,
Флорал 1кг,0.0,3.0,шт,,,,8157.0,1.0,1.0,2719.0,8157.0,,,,,,,,,,,,,,,
Бэрри 1кг,0.0,3.0,шт,,,,7647.0,1.0,1.0,2549.0,7647.0,,,,,,,,,,,,,,,
Сок в бутылочке IL PRIMO 0.2 л,0.0,58.0,шт,59.02,3423.26,120.26,4116.74,1.0,1.0,130.0,7540.0,,,,,,,,,,,,,,,
Сироп / 20 гр,0.0,121.0,шт,0.02,2.05,354046.34,7257.95,1.0,1.0,60.0,7260.0,,,,,,,,,,,,,,,
Флорал 250,0.0,9.0,шт,442.0,3978.0,80.77,3213.0,,1.0,799.0,7191.0,,,,,,,,,,,,,,,
Умами ГРЕЧКА / РИС,0.0,19.0,шт,250.0,4750.0,50.0,2375.0,,1.0,375.0,7125.0,,,,,,,,,,,,,,,
Эфиопия Иргачефф 250,0.0,9.0,шт,393.3,3539.7,90.44,3201.3,,1.0,749.0,6741.0,,,,,,,,,,,,,,,
